02:49:30.807 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,94] - De-registering from Nacos Server now...
02:49:30.820 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - [deregister,114] - De-registration finished.
02:49:31.145 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,454] - Shutdown rpc client, set status to shutdown
02:49:31.145 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [shutdown,456] - Shutdown client event executor java.util.concurrent.ScheduledThreadPoolExecutor@31f33774[Running, pool size = 2, active threads = 2, queued tasks = 0, completed tasks = 0]
02:49:31.145 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1656160154360_192.168.2.2_52918
02:49:31.148 [nacos-grpc-client-executor-4858] INFO  c.a.n.c.r.c.g.GrpcClient - [printIfInfoEnabled,60] - [1656160154360_192.168.2.2_52918]Ignore complete event,isRunning:false,isAbandon=false
02:49:31.158 [SpringApplicationShutdownHook] INFO  c.a.n.c.r.c.g.GrpcClient - [shutdown,85] - Shutdown grpc executor java.util.concurrent.ThreadPoolExecutor@788f094a[Running, pool size = 6, active threads = 0, queued tasks = 0, completed tasks = 4859]
14:13:57.658 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
14:14:00.293 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of ee37674b-1485-47d2-bc52-bcb3598046ed_config-0
14:14:00.501 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 118 ms to scan 1 urls, producing 3 keys and 6 values 
14:14:00.608 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 32 ms to scan 1 urls, producing 4 keys and 9 values 
14:14:00.637 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 21 ms to scan 1 urls, producing 3 keys and 10 values 
14:14:01.107 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 460 ms to scan 174 urls, producing 0 keys and 0 values 
14:14:01.125 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 1 keys and 5 values 
14:14:01.151 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 20 ms to scan 1 urls, producing 1 keys and 7 values 
14:14:01.173 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 16 ms to scan 1 urls, producing 2 keys and 8 values 
14:14:01.514 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 335 ms to scan 174 urls, producing 0 keys and 0 values 
14:14:01.516 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ee37674b-1485-47d2-bc52-bcb3598046ed_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
14:14:01.517 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ee37674b-1485-47d2-bc52-bcb3598046ed_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$380/828640125
14:14:01.518 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ee37674b-1485-47d2-bc52-bcb3598046ed_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$381/1378336204
14:14:01.520 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ee37674b-1485-47d2-bc52-bcb3598046ed_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
14:14:01.522 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ee37674b-1485-47d2-bc52-bcb3598046ed_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
14:14:01.548 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ee37674b-1485-47d2-bc52-bcb3598046ed_config-0] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
14:14:04.656 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ee37674b-1485-47d2-bc52-bcb3598046ed_config-0] Success to connect to server [192.168.2.11:8848] on start up, connectionId = 1656223871667_192.168.2.2_60344
14:14:04.659 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ee37674b-1485-47d2-bc52-bcb3598046ed_config-0] Notify connected event to listeners.
14:14:04.664 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ee37674b-1485-47d2-bc52-bcb3598046ed_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
14:14:04.665 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [ee37674b-1485-47d2-bc52-bcb3598046ed_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$390/526099345
14:14:04.929 [main] INFO  c.r.a.RuoYiAuthApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
14:14:11.831 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-9200"]
14:14:11.832 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
