00:15:39.721 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be80bb0-fa6a-48b6-98cc-aa3afdddd12a_config-0] Server healthy check fail, currentConnection = 1656258980826_192.168.2.2_64166
00:15:39.726 [nacos-grpc-client-executor-10] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be80bb0-fa6a-48b6-98cc-aa3afdddd12a_config-0] Receive server push request, request = ClientDetectionRequest, requestId = 125
00:15:39.739 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be80bb0-fa6a-48b6-98cc-aa3afdddd12a_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
00:15:39.740 [nacos-grpc-client-executor-10] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be80bb0-fa6a-48b6-98cc-aa3afdddd12a_config-0] Ack server push request, request = ClientDetectionRequest, requestId = 125
00:15:39.745 [nacos-grpc-client-executor-10] INFO  c.a.n.c.r.c.g.GrpcClient - [printIfInfoEnabled,60] - [1656258980826_192.168.2.2_64166]Ignore complete event,isRunning:false,isAbandon=false
00:15:39.861 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be80bb0-fa6a-48b6-98cc-aa3afdddd12a_config-0] Success to connect a server [192.168.2.11:8848], connectionId = 1656259966722_192.168.2.2_51283
00:15:39.861 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be80bb0-fa6a-48b6-98cc-aa3afdddd12a_config-0] Abandon prev connection, server is 192.168.2.11:8848, connectionId is 1656258980826_192.168.2.2_64166
00:15:39.861 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [closeConnection,591] - Close current connection 1656258980826_192.168.2.2_64166
00:15:39.865 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be80bb0-fa6a-48b6-98cc-aa3afdddd12a_config-0] Notify disconnected event to listeners
00:15:39.865 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [2be80bb0-fa6a-48b6-98cc-aa3afdddd12a_config-0] Notify connected event to listeners.
00:15:39.925 [main] INFO  c.a.c.s.SentinelWebMvcConfigurer - [addInterceptors,52] - [Sentinel Starter] register SentinelWebInterceptor with urlPatterns: [/**].
00:15:40.244 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of 177499c1-9de2-454c-bb9a-851a1f2b2fab
00:15:40.245 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [177499c1-9de2-454c-bb9a-851a1f2b2fab] RpcClient init label, labels = {module=naming, source=sdk}
00:15:40.247 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [177499c1-9de2-454c-bb9a-851a1f2b2fab] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
00:15:40.248 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [177499c1-9de2-454c-bb9a-851a1f2b2fab] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
00:15:40.249 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [177499c1-9de2-454c-bb9a-851a1f2b2fab] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
00:15:40.250 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [177499c1-9de2-454c-bb9a-851a1f2b2fab] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
00:15:40.367 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [177499c1-9de2-454c-bb9a-851a1f2b2fab] Success to connect to server [192.168.2.11:8848] on start up, connectionId = 1656259967232_192.168.2.2_51284
00:15:40.367 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [177499c1-9de2-454c-bb9a-851a1f2b2fab] Notify connected event to listeners.
00:15:40.367 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [177499c1-9de2-454c-bb9a-851a1f2b2fab] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
00:15:40.368 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [177499c1-9de2-454c-bb9a-851a1f2b2fab] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$390/104912388
