22:46:30.223 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
22:46:32.057 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0
22:46:32.206 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 84 ms to scan 1 urls, producing 3 keys and 6 values 
22:46:32.266 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 20 ms to scan 1 urls, producing 4 keys and 9 values 
22:46:32.284 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 3 keys and 10 values 
22:46:32.564 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 270 ms to scan 208 urls, producing 0 keys and 0 values 
22:46:32.577 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 1 keys and 5 values 
22:46:32.595 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 12 ms to scan 1 urls, producing 1 keys and 7 values 
22:46:32.613 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 13 ms to scan 1 urls, producing 2 keys and 8 values 
22:46:32.824 [main] INFO  o.r.Reflections - [scan,232] - Reflections took 206 ms to scan 208 urls, producing 0 keys and 0 values 
22:46:32.826 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] RpcClient init label, labels = {module=config, Vipserver-Tag=null, source=sdk, Amory-Tag=null, Location-Tag=null, taskId=0, AppName=unknown}
22:46:32.828 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$383/112159699
22:46:32.828 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Register server push request handler:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$$Lambda$384/375977074
22:46:32.830 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Registry connection listener to current client:com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$1
22:46:32.832 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] RpcClient init, ServerListFactory = com.alibaba.nacos.client.config.impl.ClientWorker$ConfigRpcTransportClient$2
22:46:32.858 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
22:46:37.136 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
22:46:40.154 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
22:46:43.173 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Try to reconnect to a new server, server is  not appointed, will choose a random server.
22:46:43.176 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$ConnectResetRequestHandler
22:46:43.176 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Register server push request handler:com.alibaba.nacos.common.remote.client.RpcClient$$Lambda$393/634829203
22:46:44.632 [main] INFO  c.r.g.RuoYiGatewayApplication - [logStartupProfileInfo,646] - The following 1 profile is active: "dev"
22:46:49.298 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Fail to connect server, after trying 1 times, last try server is {serverIp = '192.168.2.11', server main port = 8848}, error = unknown
22:46:52.510 [main] INFO  c.a.c.s.g.s.SentinelSCGAutoConfiguration - [sentinelGatewayFilter,144] - [Sentinel SpringCloudGateway] register SentinelGatewayFilter with order: -2147483648
22:46:52.523 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Fail to connect server, after trying 2 times, last try server is {serverIp = '192.168.2.11', server main port = 8848}, error = unknown
22:46:52.881 [main] INFO  c.a.n.c.r.client - [lambda$createClient$0,80] - [RpcClientFactory] create a new rpc client of b36f0011-e2df-4886-9276-d315dd7be76e
22:46:52.882 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b36f0011-e2df-4886-9276-d315dd7be76e] RpcClient init label, labels = {module=naming, source=sdk}
22:46:52.889 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b36f0011-e2df-4886-9276-d315dd7be76e] RpcClient init, ServerListFactory = com.alibaba.nacos.client.naming.core.ServerListManager
22:46:52.890 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b36f0011-e2df-4886-9276-d315dd7be76e] Registry connection listener to current client:com.alibaba.nacos.client.naming.remote.gprc.redo.NamingGrpcRedoService
22:46:52.892 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b36f0011-e2df-4886-9276-d315dd7be76e] Register server push request handler:com.alibaba.nacos.client.naming.remote.gprc.NamingPushRequestHandler
22:46:52.893 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b36f0011-e2df-4886-9276-d315dd7be76e] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
22:46:55.845 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Fail to connect server, after trying 3 times, last try server is {serverIp = '192.168.2.11', server main port = 8848}, error = unknown
22:46:55.910 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b36f0011-e2df-4886-9276-d315dd7be76e] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
22:46:58.930 [main] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b36f0011-e2df-4886-9276-d315dd7be76e] Try to connect to server on start up, server: {serverIp = '192.168.2.11', server main port = 8848}
22:46:59.270 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [bee299dd-0e8f-4c49-91b1-0a52d79eb1b5_config-0] Fail to connect server, after trying 4 times, last try server is {serverIp = '192.168.2.11', server main port = 8848}, error = unknown
22:47:01.936 [com.alibaba.nacos.client.remote.worker] INFO  c.a.n.c.r.client - [printIfInfoEnabled,60] - [b36f0011-e2df-4886-9276-d315dd7be76e] Try to reconnect to a new server, server is  not appointed, will choose a random server.
